"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: dim","Param: lib"
"org.ojalgo.benchmark.lab.LeastSquaresSolver.execute","thrpt",1,3,14147224.619902,1017690.247621,"ops/min",10,ACM
"org.ojalgo.benchmark.lab.LeastSquaresSolver.execute","thrpt",1,3,26312772.416730,1420470.851227,"ops/min",10,EJML
"org.ojalgo.benchmark.lab.LeastSquaresSolver.execute","thrpt",1,3,8632904.423975,1635064.050410,"ops/min",10,ojAlgo
"org.ojalgo.benchmark.lab.LeastSquaresSolver.execute","thrpt",1,3,11289497.148725,1355003.022051,"ops/min",10,MTJ
"org.ojalgo.benchmark.lab.LeastSquaresSolver.execute","thrpt",1,3,5593856.394768,1630200.785325,"ops/min",16,ACM
"org.ojalgo.benchmark.lab.LeastSquaresSolver.execute","thrpt",1,3,9783792.213094,2445552.142579,"ops/min",16,EJML
"org.ojalgo.benchmark.lab.LeastSquaresSolver.execute","thrpt",1,3,3553651.923664,302433.307225,"ops/min",16,ojAlgo
"org.ojalgo.benchmark.lab.LeastSquaresSolver.execute","thrpt",1,3,6795619.669675,1031563.974815,"ops/min",16,MTJ
"org.ojalgo.benchmark.lab.LeastSquaresSolver.execute","thrpt",1,3,3550160.960000,835630.007732,"ops/min",20,ACM
"org.ojalgo.benchmark.lab.LeastSquaresSolver.execute","thrpt",1,3,5599693.518170,625965.377869,"ops/min",20,EJML
"org.ojalgo.benchmark.lab.LeastSquaresSolver.execute","thrpt",1,3,2106863.092109,291629.126774,"ops/min",20,ojAlgo
"org.ojalgo.benchmark.lab.LeastSquaresSolver.execute","thrpt",1,3,5042197.010030,610886.526997,"ops/min",20,MTJ
"org.ojalgo.benchmark.lab.LeastSquaresSolver.execute","thrpt",1,3,1022704.527101,253119.435197,"ops/min",32,ACM
"org.ojalgo.benchmark.lab.LeastSquaresSolver.execute","thrpt",1,3,1487795.086229,199035.170117,"ops/min",32,EJML
"org.ojalgo.benchmark.lab.LeastSquaresSolver.execute","thrpt",1,3,552000.199516,82871.447851,"ops/min",32,ojAlgo
"org.ojalgo.benchmark.lab.LeastSquaresSolver.execute","thrpt",1,3,2214962.452343,358530.811585,"ops/min",32,MTJ
