"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: dim","Param: lib"
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,38135.421931,1118.362891,"ops/min",100,ACM
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,81654.512533,1733.966751,"ops/min",100,EJML
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,81834.264950,3912.832182,"ops/min",100,ojAlgo
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,120686.390843,4467.061288,"ops/min",100,MTJ
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,11259.583628,466.478360,"ops/min",150,ACM
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,24916.537253,913.045570,"ops/min",150,EJML
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,28813.387908,3074.228719,"ops/min",150,ojAlgo
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,32585.075928,990.448115,"ops/min",150,MTJ
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,4699.609018,154.068427,"ops/min",200,ACM
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,10564.505186,243.320489,"ops/min",200,EJML
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,12879.868234,1112.032416,"ops/min",200,ojAlgo
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,14081.429213,321.049398,"ops/min",200,MTJ
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,755.118404,59.018629,"ops/min",350,ACM
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,1882.896716,50.754316,"ops/min",350,EJML
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,2927.394669,84.440398,"ops/min",350,ojAlgo
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,2663.387162,87.400752,"ops/min",350,MTJ
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,104.885926,34.263592,"ops/min",500,ACM
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,661.333553,18.941929,"ops/min",500,EJML
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,997.457942,92.336884,"ops/min",500,ojAlgo
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,912.585034,41.724082,"ops/min",500,MTJ
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,28.488931,23.897576,"ops/min",750,ACM
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,201.026538,4.545667,"ops/min",750,EJML
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,327.996705,22.135575,"ops/min",750,ojAlgo
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,266.832089,14.143600,"ops/min",750,MTJ
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,16.739323,47.510249,"ops/min",1000,ACM
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,80.469546,16.667079,"ops/min",1000,EJML
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,140.061652,15.072503,"ops/min",1000,ojAlgo
"org.ojalgo.benchmark.lab.FillByMultiplying.execute","thrpt",1,3,112.610005,9.225024,"ops/min",1000,MTJ
