"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: dim","Param: lib"
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,94536.107664,44322.902782,"ops/min",100,ACM
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,130605.585246,34502.850700,"ops/min",100,EJML
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,164178.974370,8731.953566,"ops/min",100,ojAlgo
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,204003.436477,105768.635177,"ops/min",100,MTJ
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,29665.377742,2459.956830,"ops/min",150,ACM
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,39914.303869,657.542855,"ops/min",150,EJML
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,57705.409309,32826.422293,"ops/min",150,ojAlgo
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,68821.388843,2585.097988,"ops/min",150,MTJ
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,13020.651641,719.770120,"ops/min",200,ACM
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,14627.321746,352.527012,"ops/min",200,EJML
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,18450.077979,806.766955,"ops/min",200,ojAlgo
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,31652.854940,522.949725,"ops/min",200,MTJ
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,2133.023358,118.357118,"ops/min",350,ACM
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,2756.667546,145.307318,"ops/min",350,EJML
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,3624.948322,257.212437,"ops/min",350,ojAlgo
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,6367.177736,254.774224,"ops/min",350,MTJ
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,783.001594,23.357719,"ops/min",500,ACM
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,897.143701,81.202458,"ops/min",500,EJML
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,1274.324988,125.347495,"ops/min",500,ojAlgo
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,2286.044067,180.825128,"ops/min",500,MTJ
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,226.740966,11.721755,"ops/min",750,ACM
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,272.677167,12.629666,"ops/min",750,EJML
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,545.586768,86.154911,"ops/min",750,ojAlgo
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,681.344907,39.397244,"ops/min",750,MTJ
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,51.566297,22.786038,"ops/min",1000,ACM
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,112.463550,4.095644,"ops/min",1000,EJML
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,278.320736,31.982203,"ops/min",1000,ojAlgo
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,300.857270,40.959156,"ops/min",1000,MTJ
