"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: dim","Param: lib"
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,95525.067434,5265.382694,"ops/min",100,ACM
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,116277.904751,21188.562780,"ops/min",100,EJML
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,150205.352691,1135.929872,"ops/min",100,ojAlgo
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,200770.119601,25498.872579,"ops/min",100,MTJ
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,29532.192570,1457.831170,"ops/min",150,ACM
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,35082.278260,3778.572019,"ops/min",150,EJML
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,69948.792803,75063.379841,"ops/min",150,ojAlgo
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,64844.020896,40252.603740,"ops/min",150,MTJ
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,12541.733032,787.494025,"ops/min",200,ACM
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,15022.807387,1125.352545,"ops/min",200,EJML
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,34580.259329,17851.815395,"ops/min",200,ojAlgo
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,30032.889686,2984.679302,"ops/min",200,MTJ
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,2222.522475,458.003769,"ops/min",350,ACM
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,2700.844060,835.903347,"ops/min",350,EJML
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,8790.122850,292.971838,"ops/min",350,ojAlgo
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,5786.349875,2310.448266,"ops/min",350,MTJ
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,769.177482,144.456591,"ops/min",500,ACM
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,886.180977,341.158038,"ops/min",500,EJML
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,2821.228881,881.239626,"ops/min",500,ojAlgo
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,2145.025939,1210.686125,"ops/min",500,MTJ
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,225.425559,17.296797,"ops/min",750,ACM
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,268.890962,76.561843,"ops/min",750,EJML
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,491.946630,44.402638,"ops/min",750,ojAlgo
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,679.612577,123.791831,"ops/min",750,MTJ
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,83.504879,51.014290,"ops/min",1000,ACM
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,114.028279,18.551353,"ops/min",1000,EJML
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,231.064259,36.097441,"ops/min",1000,ojAlgo
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,298.074927,108.682659,"ops/min",1000,MTJ
