"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: dim","Param: lib"
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,3150.209949,259.207813,"ops/min",100,ACM
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,5114.253066,85.041371,"ops/min",100,EJML
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,3406.489828,130.955676,"ops/min",100,ojAlgo
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,12419.068093,210.160596,"ops/min",100,MTJ
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,1068.380149,207.214681,"ops/min",150,ACM
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,1802.721638,79.906475,"ops/min",150,EJML
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,1363.667837,11.939461,"ops/min",150,ojAlgo
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,4244.587606,220.508541,"ops/min",150,MTJ
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,489.927252,28.847347,"ops/min",200,ACM
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,815.064815,21.498444,"ops/min",200,EJML
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,676.386452,20.053897,"ops/min",200,ojAlgo
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,1919.755205,110.482121,"ops/min",200,MTJ
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,94.473931,7.736844,"ops/min",350,ACM
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,179.233419,0.362876,"ops/min",350,EJML
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,150.664810,10.154670,"ops/min",350,ojAlgo
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,399.248718,15.881685,"ops/min",350,MTJ
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,21.684322,4.326104,"ops/min",500,ACM
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,63.036186,3.296237,"ops/min",500,EJML
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,58.334097,1.867648,"ops/min",500,ojAlgo
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,139.956427,19.025017,"ops/min",500,MTJ
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,4.281804,0.987164,"ops/min",750,ACM
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,20.214417,3.645961,"ops/min",750,EJML
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,18.116774,1.792665,"ops/min",750,ojAlgo
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,42.550304,4.195964,"ops/min",750,MTJ
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,1.588252,3.523136,"ops/min",1000,ACM
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,8.456358,0.419005,"ops/min",1000,EJML
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,7.798696,0.600685,"ops/min",1000,ojAlgo
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,18.352109,1.263203,"ops/min",1000,MTJ
