"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: dim","Param: lib"
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,86573.961355,1706.571719,"ops/min",100,ACM
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,113274.908670,15050.799413,"ops/min",100,EJML
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,120816.174173,1647.726428,"ops/min",100,ojAlgo
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,204769.711387,3801.908838,"ops/min",100,MTJ
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,28093.691198,589.726102,"ops/min",150,ACM
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,34682.866775,588.974515,"ops/min",150,EJML
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,38269.635704,331.408365,"ops/min",150,ojAlgo
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,67002.348945,937.694565,"ops/min",150,MTJ
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,12647.912283,350.243549,"ops/min",200,ACM
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,15000.937428,174.686077,"ops/min",200,EJML
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,16739.933330,240.347383,"ops/min",200,ojAlgo
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,31372.363166,847.223838,"ops/min",200,MTJ
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,2231.795746,42.973561,"ops/min",350,ACM
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,2818.510724,287.394956,"ops/min",350,EJML
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,3247.016571,92.720931,"ops/min",350,ojAlgo
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,6619.038431,73.310692,"ops/min",350,MTJ
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,760.836350,23.188559,"ops/min",500,ACM
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,931.184646,7.351566,"ops/min",500,EJML
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,1143.743680,8.591354,"ops/min",500,ojAlgo
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,2418.159485,26.448856,"ops/min",500,MTJ
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,230.034385,8.555464,"ops/min",750,ACM
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,271.831647,2.391524,"ops/min",750,EJML
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,369.664837,95.673288,"ops/min",750,ojAlgo
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,738.754411,21.045190,"ops/min",750,MTJ
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,92.919668,11.462790,"ops/min",1000,ACM
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,115.382954,2.165292,"ops/min",1000,EJML
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,175.017041,28.043091,"ops/min",1000,ojAlgo
"org.ojalgo.benchmark.lab.GeneralSolve.execute","thrpt",1,3,316.083318,10.203934,"ops/min",1000,MTJ
