"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: dim","Param: lib"
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,5874.681874,72.301063,"ops/min",100,ACM
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,7894.000496,138.476260,"ops/min",100,EJML
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,8408.371985,3.366896,"ops/min",100,ojAlgo
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,13152.062491,934.766371,"ops/min",100,MTJ
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,1766.645762,43.710626,"ops/min",150,ACM
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,2469.770917,98.293579,"ops/min",150,EJML
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,2587.903403,20.275128,"ops/min",150,ojAlgo
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,4539.126055,229.642764,"ops/min",150,MTJ
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,739.669644,9.944804,"ops/min",200,ACM
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,1074.437770,18.060453,"ops/min",200,EJML
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,1105.705750,18.373040,"ops/min",200,ojAlgo
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,1989.920434,110.020221,"ops/min",200,MTJ
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,117.447099,14.828041,"ops/min",350,ACM
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,205.520701,5.197982,"ops/min",350,EJML
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,215.084243,6.368103,"ops/min",350,ojAlgo
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,413.348030,7.401659,"ops/min",350,MTJ
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,40.349173,5.753966,"ops/min",500,ACM
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,72.211515,0.498382,"ops/min",500,EJML
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,74.861104,1.179247,"ops/min",500,ojAlgo
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,145.372941,10.176190,"ops/min",500,MTJ
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,10.320064,6.588585,"ops/min",750,ACM
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,21.644648,0.701114,"ops/min",750,EJML
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,22.439627,0.895193,"ops/min",750,ojAlgo
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,43.571405,1.070761,"ops/min",750,MTJ
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,2.397354,3.100774,"ops/min",1000,ACM
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,8.873576,0.656651,"ops/min",1000,EJML
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,9.161996,0.158069,"ops/min",1000,ojAlgo
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,18.651752,0.280956,"ops/min",1000,MTJ
