"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: dim","Param: lib"
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,5306.627906,78.319879,"ops/min",100,ACM
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,9164.012976,148.401594,"ops/min",100,EJML
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,12588.920406,173.312835,"ops/min",100,ojAlgo
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,13001.098627,2069.368101,"ops/min",100,MTJ
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,1525.441788,1549.533818,"ops/min",150,ACM
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,2920.605004,781.682658,"ops/min",150,EJML
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,4428.304389,134.939466,"ops/min",150,ojAlgo
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,4172.090420,2056.249371,"ops/min",150,MTJ
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,606.994277,99.331250,"ops/min",200,ACM
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,1245.940274,393.137140,"ops/min",200,EJML
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,1865.329932,98.773979,"ops/min",200,ojAlgo
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,1837.535253,363.952149,"ops/min",200,MTJ
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,102.951835,2.874584,"ops/min",350,ACM
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,231.082248,12.759120,"ops/min",350,EJML
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,372.140245,313.523511,"ops/min",350,ojAlgo
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,380.772446,77.270550,"ops/min",350,MTJ
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,22.865902,135.650556,"ops/min",500,ACM
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,79.116986,58.568052,"ops/min",500,EJML
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,122.027451,95.139177,"ops/min",500,ojAlgo
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,128.001247,65.529949,"ops/min",500,MTJ
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,4.400032,3.199199,"ops/min",750,ACM
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,16.592470,65.159247,"ops/min",750,EJML
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,29.526324,35.203932,"ops/min",750,ojAlgo
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,34.878373,58.789960,"ops/min",750,MTJ
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,1.141889,7.252533,"ops/min",1000,ACM
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,4.835126,4.370750,"ops/min",1000,EJML
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,7.981515,26.228693,"ops/min",1000,ojAlgo
"org.ojalgo.benchmark.lab.DecomposeSVD.execute","thrpt",1,3,12.595684,46.879007,"ops/min",1000,MTJ
